[0x000026b4] | Undefined            | INFO  | 2020-07-21 12:29:13,366 | --------------------------------------------------------------------------------
[0x000026b4] | Undefined            | INFO  | 2020-07-21 12:29:13,367 | Loaded log config from C:\Users\Roussel\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x000026b4] | Undefined            | INFO  | 2020-07-21 12:29:13,367 | --------------------------------------------------------------------------------
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:13,372 | Running DaVinci Resolve v16.2.3.015 (Windows/MSVC)
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,146 | Updating display GPU information...
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,200 | Found correct name from registry for device : I, provider Intel Corporation
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,200 | Found Intel Device: Intel(R) HD Graphics 530
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,233 | GPU Intel(R) HD Graphics 530 is used for display
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,234 | Found correct name from registry for device : GeForce GTX 1060, provider NVIDIA
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,234 | Found CUDA Device: NVIDIA GeForce GTX 1060
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:14,235 | GPU NVIDIA GeForce GTX 1060 is used for display
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,132 | GPUs detected: 1 integrated, 1 discrete, 2 OpenCL.Graphics interop capable.
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,132 | Detected uptime 2735s
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,132 | GPU Name = 'NVIDIA GeForce GTX 1060', Main display = 1
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,172 | Only 1 NVIDIA display GPU found. Using CUDA for processing.
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,172 | GLmap capable. GPUs: 1 discrete, 0 integrated, 0 external. Auto mapping, CUDA processing, main display not on external GPU.
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,172 | Setting LsManager.3.DisplayGPUName = NVIDIA GeForce GTX 1060
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,172 | Setting LsManager.3.DisplayGPUIndex = 0
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,172 | Setting LsManager.3.NumGPUs = 1
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:15,173 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x000026b4] | IO                   | INFO  | 2020-07-21 12:29:15,510 | R3DAPI 7.3.2-45A15 (20200609 W64S) R3DSDK 7.3.2-45A15 (20200609 W64D C3B3) RED CUDA 7.3.2-49499 (20200609) [C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries\] init is successful
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,511 | 0 RED rocket cards available
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,512 | Setting Local.DtManager.1.Red.Threads = 0
[0x000026b4] | SyManager.DeckLink   | ERROR | 2020-07-21 12:29:15,573 | Failed to create instance.
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,574 | Decklink model name: '', version: ''
[0x000026b4] | DVIP                 | INFO  | 2020-07-21 12:29:15,575 | DVIP Version : 16.2.3, Revision r006363-6b7f266d, Branch release/16.2.3 (Release)
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:15,581 | Resolve Module Handle 00007FF6A4E20000
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:16,673 | Installed custom font: Open Sans
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:16,683 | Installed custom font: Open Sans Semibold
[0x000026b4] | Main                 | INFO  | 2020-07-21 12:29:16,688 | Installed custom font: Open Sans
